Product,Quantity,Description,Total cost (USD),Supplier,Link
Ferrite bead,1,0805 600R 100mhz ferrite bead,3.93,Aliexpress,https://www.aliexpress.com/item/1005003127666910.html?spm=a2g0o.productlist.main.37.ba11ISfCISfCeO&algo_pvid=b19fe644-ee9e-45ce-8c38-43ce983eb4d3&algo_exp_id=b19fe644-ee9e-45ce-8c38-43ce983eb4d3-34&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.52%214.72%21%21%213.87%213.31%21%40210337c117807205436898267e16f1%2112000024246365910%21sea%21AU%217099856219%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=ES5AkXMpY2mV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003127666910%7C_p_origin_prod%3A
IDC header,2,2x5 pin 2.54mm IDC header for EXP1/2,4.77,Aliexpress,https://www.aliexpress.com/item/32658384492.html?spm=a2g0o.productlist.main.1.219e2670Eo0Se8&algo_pvid=fe8eff41-56a5-4592-8ccd-295c5888be36&algo_exp_id=fe8eff41-56a5-4592-8ccd-295c5888be36-0&pdp_ext_f=%7B%22order%22%3A%22191%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.22%211.15%21%21%212.26%210.81%21%402101eecd17806372074926845e0b1c%2159817550672%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=g4IB6NhYXd4C&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32658384492%7C_p_origin_prod%3A
JST-XH header,7,JST-XH 2.54mm header for conencting heaters and fans,1.83,Aliexpress,https://www.aliexpress.com/item/1005004985397880.html?spm=a2g0o.productlist.main.23.40e65899Of5PUE&algo_pvid=1977cbec-ffa5-4de8-831c-9440196d8bf1&algo_exp_id=1977cbec-ffa5-4de8-831c-9440196d8bf1-22&pdp_ext_f=%7B%22order%22%3A%222875%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.97%211.41%21%21%211.38%210.99%21%402101e2b417806373261363795eedd2%2112000031243962104%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&curPageLogUid=7n7ud5jLy3vZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004985397880%7C_p_origin_prod%3A
10uH inductor,1,6x6x3 10uH inductor,3.5,Aliexpress,https://www.aliexpress.com/item/1005006817003873.html?spm=a2g0o.productlist.main.6.307049c0TMTVHT&algo_pvid=e79df2b3-a062-49aa-af8c-c6f5cb47ec49&algo_exp_id=e79df2b3-a062-49aa-af8c-c6f5cb47ec49-5&pdp_ext_f=%7B%22order%22%3A%22163%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.18%213.83%21%21%2119.87%2118.21%21%402103274e17807207366446547eda14%2112000038400661794%21sea%21AU%217099856219%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=Uw0smIdCVuNn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006817003873%7C_p_origin_prod%3A
MOSFET,2,TO252-3 AOD4184 SMD MOSFET for heaters,3.7,Aliexpress,https://www.aliexpress.com/item/1005006044488568.html?spm=a2g0o.productlist.main.11.4d4c3b5bR8SclD&algo_pvid=a61fbf26-45db-4a52-9034-cc3dcb697579&algo_exp_id=a61fbf26-45db-4a52-9034-cc3dcb697579-10&pdp_ext_f=%7B%22order%22%3A%2295%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.19%215.19%21%21%213.64%213.64%21%402101d6fe17807216896738122e0f1a%2112000035465188545%21sea%21AU%217099856219%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=S5OfV9YlN4WJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006044488568%7C_p_origin_prod%3A
Fan MOSFET,3,SOT-23 AO3400 SMD MOSFET,1.87,Aliexpress,https://www.aliexpress.com/item/1005006286601118.html?spm=a2g0o.productlist.main.9.4ce42ca8iM3y0D&algo_pvid=319f8fc6-8206-46b1-9744-9ac8f71bc98b&algo_exp_id=319f8fc6-8206-46b1-9744-9ac8f71bc98b-8&pdp_ext_f=%7B%22order%22%3A%22371%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.63%211.41%21%21%2112.49%216.69%21%402101df0e17807218619116715e442e%2112000036629120259%21sea%21AU%217099856219%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&curPageLogUid=dHrfVQrllnN6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006286601118%7C_p_origin_prod%3A
Resistor 0.5W,8,1206 0.5W 0.15 ohm sense resistor for TMC 2209,1.62,Aliexpress,https://www.aliexpress.com/item/1005005905538731.html?spm=a2g0o.productlist.main.22.23a1qQ8UqQ8UMb&algo_pvid=a82ca72a-9188-440a-b602-617bfa6c08b9&algo_exp_id=a82ca72a-9188-440a-b602-617bfa6c08b9-21&pdp_ext_f=%7B%22order%22%3A%2295%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.28%212.28%21%21%211.60%211.60%21%40210319b717807247218277738eef46%2112000034790583111%21sea%21AU%217099856219%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=Pfo42AofQ8rk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005905538731%7C_p_origin_prod%3A
1K resistor,5,0805 1k ohm resistor,2.48,Aliexpress,https://www.aliexpress.com/item/32936483115.html?spm=a2g0o.productlist.main.17.1568609eeUmkpk&algo_pvid=3f253524-d59c-408c-95f4-7682587921c2&algo_exp_id=3f253524-d59c-408c-95f4-7682587921c2-16&pdp_ext_f=%7B%22order%22%3A%22226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.38%213.38%21%21%212.37%212.37%21%402101df0e17806374475111340ea6b0%2166160253242%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=dNfs5t7vpWyj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32936483115%7C_p_origin_prod%3A
10k resistor,12,0805 10k resistor,2.53,Aliexpress,https://www.aliexpress.com/item/32936483115.html?spm=a2g0o.productlist.main.17.1568609eeUmkpk&algo_pvid=3f253524-d59c-408c-95f4-7682587921c2&algo_exp_id=3f253524-d59c-408c-95f4-7682587921c2-16&pdp_ext_f=%7B%22order%22%3A%22226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.38%213.38%21%21%212.37%212.37%21%402101df0e17806374475111340ea6b0%2166160253242%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=dNfs5t7vpWyj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32936483115%7C_p_origin_prod%3A
100 resistor,6,100 ohm 0805 resistor,2.44,Aliexpress,https://www.aliexpress.com/item/32936483115.html?spm=a2g0o.productlist.main.17.1568609eeUmkpk&algo_pvid=3f253524-d59c-408c-95f4-7682587921c2&algo_exp_id=3f253524-d59c-408c-95f4-7682587921c2-16&pdp_ext_f=%7B%22order%22%3A%22226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.38%213.38%21%21%212.37%212.37%21%402101df0e17806374475111340ea6b0%2166160253242%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=dNfs5t7vpWyj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32936483115%7C_p_origin_prod%3A
